,Degree,Lambda,Train ERMS,Validation ERMS,Test ERMS
0,3,0.0,34.7941,34.2514,35.9453
1,5,0.0,6.0238,14.517,15.1803
2,7,0.0,5.3087,13.8814,14.9754
3,9,0.0,0.0,39.2589,41.2311
4,3,0.001,34.7941,34.2506,35.9443
5,5,0.001,6.0238,14.5115,15.1779
6,7,0.001,5.3092,13.8598,14.9473
7,9,0.001,1.669,29.1614,30.9883
8,3,0.1,34.8075,34.1839,35.8584
9,5,0.1,6.139,14.1102,15.0305
10,7,0.1,5.8336,13.4114,14.3169
11,9,0.1,5.1589,13.9091,15.4818
12,3,1.0,35.6423,34.2932,35.7898
13,5,1.0,8.1885,13.7916,15.5484
14,7,1.0,6.5459,12.898,13.9631
15,9,1.0,6.5747,12.9388,14.0005
